Edition	Footnote	Type	Designation							A 	d	tw	tw/2	bf	tf	T	k	k1	W	bf/2tf	h/tw	Fy'''	X1	X2x106	Ix	Zx	Sx	rx	y	yp	Iy	Zy	Sy	ry	x	xp	rz	maxf	Grip	eo	Qs36	Qs50	Qs36c	Qs50c	Qs36s	Qs50s	Astem	tan(a)	twstem	twstem/2	OD	ID	twall	J	t	Iy'	Sy'	ry'	sched	Anet36	d1A36	IxA36	SxA36	rxA36	y1A36	ryA36	AnetASTM	d1ASTM	IxASTM	SxASTM	rxASTM	y1ASTM	ryASTM	d/t	ry0	ry1_4	ry3_8	ry1_2	ry5_8	ry3_4	d/Af	rT	Fy''	Cw	Fy'	Cc50'	Cc36'	a	Wno	Sw	Qf	Qw	B	Ht / t	Ht	tnom	tdes	b / t	C	ro	H	ddet	bfdet	twdet	tfdet	kdes	kdet	B/t	Sz	Qs
13th		W	W44X335							98.5	44	1.03	  1/2 	15.9	1.77			1  5/16	335	4.5	38				31100	1620	1410	17.8	0	0	1200	236	150	3.49	0	0	0			0								0			0	0		74.7	0																			0										535000					168	1180	278	805	0	0	0	0	0		0	0	0	44	16	1	1  3/4 	2.56	2  5/8 	0	0	0
13th		W	W44X290							85.4	43.6	0.865	  7/16	15.8	1.58			1  1/4 	290	5.02	45				27000	1410	1240	17.8	0	0	1040	205	132	3.49	0	0	0			0								0			0	0		50.9	0																			0										461000					166	1040	248	701	0	0	0	0	0		0	0	0	43  5/8 	15  7/8 	  7/8 	1  9/16	2.36	2  7/16	0	0	0
13th		W	W44X262							76.9	43.3	0.785	  7/16	15.8	1.42			1  3/16	262	5.57	49.6				24100	1270	1110	17.7	0	0	923	182	117	3.47	0	0	0			0								0			0	0		37.3	0																			0										405000					165	928	223	630	0	0	0	0	0		0	0	0	43  1/4 	15  3/4 	 13/16	1  7/16	2.2	2  1/4 	0	0	0
13th		W	W44X230							67.7	42.9	0.71	  3/8 	15.8	1.22			1  3/16	230	6.45	54.8				20800	1100	971	17.5	0	0	796	157	101	3.43	0	0	0			0								0			0	0		24.9	0																			0										346000					165	793	192	547	0	0	0	0	0		0	0	0	42  7/8 	15  3/4 	 11/16	1  1/4 	2.01	2  1/16	0	0	0
13th		W	W40X593							174	43	1.79	 15/16	16.7	3.23			2  1/8 	593	2.58	19.1				50400	2760	2340	17	0	0	2520	481	302	3.8	0	0	0			0								0			0	0		445	0																			0										997000					166	2240	479	1370	0	0	0	0	0		0	0	0	43	16  3/4 	1 13/16	3  1/4 	4.41	4  1/2 	0	0	0
13th		W	W40X503							148	42.1	1.54	 13/16	16.4	2.76			2	503	2.98	22.3				41600	2320	1980	16.8	0	0	2040	394	249	3.72	0	0	0			0								0			0	0		277	0																			0										789000					161	1830	403	1150	0	0	0	0	0		0	0	0	42	16  3/8 	1  9/16	2  3/4 	3.94	4	0	0	0
13th		W	W40X431							127	41.3	1.34	 11/16	16.2	2.36			1  7/8 	431	3.44	25.5				34800	1960	1690	16.6	0	0	1690	328	208	3.65	0	0	0			0								0			0	0		177	0																			0										638000					158	1510	341	969	0	0	0	0	0		0	0	0	41  1/4 	16  1/4 	1  5/16	2  3/8 	3.54	3  5/8 	0	0	0
13th		W	W40X397							117	41	1.22	  5/8 	16.1	2.2			1 13/16	397	3.66	28				32000	1800	1560	16.6	0	0	1540	300	191	3.64	0	0	0			0								0			0	0		142	0																			0										579000					156	1380	318	891	0	0	0	0	0		0	0	0	41	16  1/8 	1  1/4 	2  3/16	3.38	3  1/2 	0	0	0
13th		W	W40X372							109	40.6	1.16	  5/8 	16.1	2.05			1 13/16	372	3.93	29.5				29600	1680	1460	16.5	0	0	1420	277	177	3.6	0	0	0			0								0			0	0		116	0																			0										528000					155	1280	295	829	0	0	0	0	0		0	0	0	40  5/8 	16  1/8 	1  3/16	2  1/16	3.23	3  5/16	0	0	0
13th		W	W40X362							107	40.6	1.12	  9/16	16	2.01			1  3/4 	362	3.99	30.5				28900	1640	1420	16.5	0	0	1380	270	173	3.6	0	0	0			0								0			0	0		109	0																			0										513000					154	1240	289	808	0	0	0	0	0		0	0	0	40  1/2 	16	1  1/8 	2	3.19	3  1/4 	0	0	0
13th		W	W40X324							95.3	40.2	1	  1/2 	15.9	1.81			1 11/16	324	4.4	34.2				25600	1460	1280	16.4	0	0	1220	239	153	3.58	0	0	0			0								0			0	0		79.4	0																			0										448000					153	1100	259	720	0	0	0	0	0		0	0	0	40  1/8 	15  7/8 	1	1 13/16	2.99	3  1/16	0	0	0
13th		W	W40X297							87.4	39.8	0.93	  1/2 	15.8	1.65			1 11/16	297	4.8	36.8				23200	1330	1170	16.3	0	0	1090	215	138	3.54	0	0	0			0								0			0	0		61.2	0																			0										399000					151	982	234	652	0	0	0	0	0		0	0	0	39  7/8 	15  7/8 	 15/16	1  5/8 	2.83	2 15/16	0	0	0
13th		W	W40X277							81.4	39.7	0.83	  7/16	15.8	1.58			1  5/8 	277	5.03	41.2				21900	1250	1100	16.4	0	0	1040	204	132	3.58	0	0	0			0								0			0	0		51.5	0																			0										379000					151	940	225	614	0	0	0	0	0		0	0	0	39  3/4 	15  7/8 	 13/16	1  9/16	2.76	2  7/8 	0	0	0
13th		W	W40X249							73.3	39.4	0.75	  3/8 	15.8	1.42			1  9/16	249	5.55	45.6				19600	1120	993	16.3	0	0	926	182	118	3.55	0	0	0			0								0			0	0		38.1	0																			0										334000					150	841	203	551	0	0	0	0	0		0	0	0	39  3/8 	15  3/4 	  3/4 	1  7/16	2.6	2 11/16	0	0	0
13th		W	W40X215							63.4	39	0.65	  5/16	15.8	1.22			1  9/16	215	6.45	52.6				16700	964	859	16.2	0	0	796	156	101	3.54	0	0	0			0								0			0	0		24.8	0																			0										284000					149	719	175	473	0	0	0	0	0		0	0	0	39	15  3/4 	  5/8 	1  1/4 	2.4	2  1/2 	0	0	0
13th		W	W40X199							58.5	38.7	0.65	  5/16	15.8	1.07			1  9/16	199	7.39	52.6				14900	869	770	16	0	0	695	137	88.2	3.45	0	0	0			0								0			0	0		18.3	0																			0										246000					149	628	153	427	0	0	0	0	0		0	0	0	38  5/8 	15  3/4 	  5/8 	1  1/16	2.25	2  5/16	0	0	0
13th		W	W40X392							115	41.6	1.42	  3/4 	12.4	2.52			1 15/16	392	2.45	24.1				29900	1710	1440	16.1	0	0	803	212	130	2.64	0	0	0			0								0			0	0		172	0																			0										306000					121	946	270	848	0	0	0	0	0		0	0	0	41  5/8 	12  3/8 	1  7/16	2  1/2 	3.7	3 13/16	0	0	0
13th		W	W40X331							97.5	40.8	1.22	  5/8 	12.2	2.13			1 13/16	331	2.86	28				24700	1430	1210	15.9	0	0	644	172	106	2.57	0	0	0			0								0			0	0		105	0																			0										241000					118	766	226	706	0	0	0	0	0		0	0	0	40  3/4 	12  1/8 	1  1/4 	2  1/8 	3.31	3  3/8 	0	0	0
13th		W	W40X327							96	40.8	1.18	  5/8 	12.1	2.13			1 13/16	327	2.85	29				24500	1410	1200	16	0	0	640	170	105	2.58	0	0	0			0								0			0	0		103	0																			0										239000					117	754	225	695	0	0	0	0	0		0	0	0	40  3/4 	12  1/8 	1  3/16	2  1/8 	3.31	3  3/8 	0	0	0
13th		W	W40X294							86.3	40.4	1.06	  9/16	12	1.93			1  3/4 	294	3.11	32.2				21900	1270	1080	15.9	0	0	562	150	93.5	2.55	0	0	0			0								0			0	0		76.6	0																			0										208000					115	668	203	622	0	0	0	0	0		0	0	0	40  3/8 	12	1  1/16	1 15/16	3.11	3  3/16	0	0	0
13th		W	W40X278							82	40.2	1.03	  1/2 	12	1.81			1  3/4 	278	3.31	33.3				20500	1190	1020	15.8	0	0	521	140	87.1	2.52	0	0	0			0								0			0	0		65	0																			0										192000					115	622	190	587	0	0	0	0	0		0	0	0	40  1/8 	12	1	1 13/16	2.99	3  1/16	0	0	0
13th		W	W40X264							77.6	40	0.96	  1/2 	11.9	1.73			1 11/16	264	3.45	35.6				19400	1130	971	15.8	0	0	493	132	82.6	2.52	0	0	0			0								0			0	0		56.1	0																			0										181000					114	589	182	555	0	0	0	0	0		0	0	0	40	11  7/8 	 15/16	1  3/4 	2.91	3	0	0	0
13th		W	W40X235							69	39.7	0.83	  7/16	11.9	1.58			1  5/8 	235	3.77	41.2				17400	1010	875	15.9	0	0	444	118	74.6	2.54	0	0	0			0								0			0	0		41.3	0																			0										161000					113	530	166	495	0	0	0	0	0		0	0	0	39  3/4 	11  7/8 	 13/16	1  9/16	2.76	2  7/8 	0	0	0
13th		W	W40X211							62	39.4	0.75	  3/8 	11.8	1.42			1  9/16	211	4.17	45.6				15500	906	786	15.8	0	0	390	105	66.1	2.51	0	0	0			0								0			0	0		30.4	0																			0										141000					112	468	148	442	0	0	0	0	0		0	0	0	39  3/8 	11  3/4 	  3/4 	1  7/16	2.6	2 11/16	0	0	0
13th		W	W40X183							53.3	39	0.65	  5/16	11.8	1.2			1  9/16	183	4.92	52.6				13200	774	675	15.7	0	0	331	88.3	56	2.49	0	0	0			0								0			0	0		19.3	0																			0										118000					112	395	126	376	0	0	0	0	0		0	0	0	39	11  3/4 	  5/8 	1  3/16	2.38	2  1/2 	0	0	0
13th		W	W40X167							49.2	38.6	0.65	  5/16	11.8	1.03			1  9/16	167	5.76	52.6				11600	693	600	15.3	0	0	283	76	47.9	2.4	0	0	0			0								0			0	0		14	0																			0										99700					111	336	107	336	0	0	0	0	0		0	0	0	38  5/8 	11  3/4 	  5/8 	1	2.21	2  5/16	0	0	0
13th		W	W40X149							43.8	38.2	0.63	  5/16	11.8	0.83			1  1/2 	149	7.11	54.3				9800	598	513	15	0	0	229	62.2	38.8	2.29	0	0	0			0								0			0	0		9.36	0																			0										80000					110	270	86.7	288	0	0	0	0	0		0	0	0	38  1/4 	11  3/4 	  5/8 	 13/16	2.01	2  1/8 	0	0	0
13th		W	W36X800							236	42.6	2.38	1  3/16	18	4.29			2  3/8 	800	2.1	13.5				64700	3650	3040	16.6	0	0	4200	743	467	4.22	0	0	0			0								0			0	0		1060	0																			0										1540000					172	3320	641	1820	0	0	0	0	0		0	0	0	42  1/2 	18	2  3/8 	4  5/16	5.24	5  9/16	0	0	0
13th		W	W36X652							192	41.1	1.97	1	17.6	3.54			2  3/16	652	2.48	16.3				50600	2910	2460	16.2	0	0	3230	581	367	4.1	0	0	0			0								0			0	0		593	0																			0										1130000					165	2560	518	1450	0	0	0	0	0		0	0	0	41	17  5/8 	2	3  9/16	4.49	4 13/16	0	0	0
13th		W	W36X529							156	39.8	1.61	 13/16	17.2	2.91			2	529	2.96	19.9				39600	2330	1990	16	0	0	2490	454	289	4	0	0	0			0								0			0	0		327	0																			0										846000					159	1990	419	1160	0	0	0	0	0		0	0	0	39  3/4 	17  1/4 	1  5/8 	2 15/16	3.86	4  3/16	0	0	0
13th		W	W36X487							143	39.3	1.5	  3/4 	17.1	2.68			1  7/8 	487	3.19	21.4				36000	2130	1830	15.8	0	0	2250	412	263	3.96	0	0	0			0								0			0	0		258	0																			0										754000					157	1800	383	1060	0	0	0	0	0		0	0	0	39  3/8 	17  1/8 	1  1/2 	2 11/16	3.63	4	0	0	0
13th		W	W36X441							130	38.9	1.36	 11/16	17	2.44			1  7/8 	441	3.48	23.6				32100	1910	1650	15.7	0	0	1990	368	235	3.92	0	0	0			0								0			0	0		194	0																			0										661000					154	1600	347	950	0	0	0	0	0		0	0	0	38  7/8 	17	1  3/8 	2  7/16	3.39	3  3/4 	0	0	0
13th		W	W36X395							116	38.4	1.22	  5/8 	16.8	2.2			1 13/16	395	3.83	26.3				28500	1710	1490	15.7	0	0	1750	325	208	3.88	0	0	0			0								0			0	0		142	0																			0										575000					152	1410	311	847	0	0	0	0	0		0	0	0	38  3/8 	16  7/8 	1  1/4 	2  3/16	3.15	3  7/16	0	0	0
13th		W	W36X361							106	38	1.12	  9/16	16.7	2.01			1  3/4 	361	4.16	28.6				25700	1550	1350	15.6	0	0	1570	293	188	3.85	0	0	0			0								0			0	0		109	0																			0										509000					150	1270	282	767	0	0	0	0	0		0	0	0	38	16  3/4 	1  1/8 	2	2.96	3  5/16	0	0	0
13th		W	W36X330							97	37.7	1.02	  1/2 	16.6	1.85			1  3/4 	330	4.49	31.4				23300	1410	1240	15.5	0	0	1420	265	171	3.83	0	0	0			0								0			0	0		84.3	0																			0										456000					149	1150	259	698	0	0	0	0	0		0	0	0	37  5/8 	16  5/8 	1	1  7/8 	2.8	3  1/8 	0	0	0
13th		W	W36X302							88.8	37.3	0.945	  1/2 	16.7	1.68			1 11/16	302	4.96	33.9				21100	1280	1130	15.4	0	0	1300	241	156	3.82	0	0	0			0								0			0	0		64.3	0																			0										412000					148	1040	235	635	0	0	0	0	0		0	0	0	37  3/8 	16  5/8 	 15/16	1 11/16	2.63	3	0	0	0
13th		W	W36X282							82.9	37.1	0.885	  7/16	16.6	1.57			1  5/8 	282	5.29	36.2				19600	1190	1050	15.4	0	0	1200	223	144	3.8	0	0	0			0								0			0	0		52.7	0																			0										378000					147	960	219	591	0	0	0	0	0		0	0	0	37  1/8 	16  5/8 	  7/8 	1  9/16	2.52	2  7/8 	0	0	0
