Model,TandemMoment_df,eg,minendmoment,LR1,minXreaction,HS20Moment_df,Iy1,St1,St2,Iy2,numberofgirders,maxZreaction,span,width,LR2,maxendmoment,minZreaction,A,Sb2,HS20Moment,Kg,numberofdiaphragms,df,maxXreaction,ybar2,Y,ybar1,girders,Sb1,I,girderspacing,df1,df2,haunch,TandemMoment
TX_24_100_P01_LK0,11066111.136121841,38.97299651567944,-7682.208223829159,0.4545429751953418,-220.1534703980648,11066111.136121841,30098.514677816835,-2550.7551667030993,-7857.164459320028,42062.52415786703,4,32671.676178911308,100,24,0.5359402104589617,7592.304023032435,-2479.656142907718,71.75,1418.7974518427293,18168000.0,1009868.666192465,5,0.6090990277477896,220.1534703305155,29.646602552912938,45.0,23.20015536155132,"[1.5, 16, 2, 16, 0.5, 31.5]",1297.3410827971388,16556.32405995935,7.3333,0.4310392024146523,0.6090990277477896,2.0,18168000.0
TX_24_100_P01_LK1,11066111.136121841,38.97299651567944,-16229.845575042067,0.4545429751953418,-466.9309075292709,11066111.136121841,30098.514677816835,-2550.7551667030993,-7857.164459320028,42062.52415786703,4,32695.981165989444,100,24,0.5359402104589617,16035.283111318506,-2472.4886083408555,71.75,1418.7974518427293,18168000.0,1009868.666192465,5,0.6090990277477896,466.93090740507006,29.646602552912938,45.0,23.20015536155132,"[1.5, 16, 2, 16, 0.5, 31.5]",1297.3410827971388,16556.32405995935,7.3333,0.4310392024146523,0.6090990277477896,2.0,18168000.0
TX_24_100_P01_LK2,11066111.136121841,38.97299651567944,-33734.94243115168,0.4545429751953418,-972.3181721404219,11066111.136121841,30098.514677816835,-2550.7551667030993,-7857.164459320028,42062.52415786703,4,32736.942760241287,100,24,0.5359402104589617,33326.03742246299,-2455.655169553847,71.75,1418.7974518427293,18168000.0,1009868.666192465,5,0.6090990277477896,972.3181720676403,29.646602552912938,45.0,23.20015536155132,"[1.5, 16, 2, 16, 0.5, 31.5]",1297.3410827971388,16556.32405995935,7.3333,0.4310392024146523,0.6090990277477896,2.0,18168000.0
TX_24_100_P01_LK3,11066111.136121841,38.97299651567944,-67782.56213016457,0.4545429751953418,-1955.3020505379986,11066111.136121841,30098.514677816835,-2550.7551667030993,-7857.164459320028,42062.52415786703,4,32823.56272150588,100,24,0.5359402104589617,66956.76351746866,-2423.858158456129,71.75,1418.7974518427293,18168000.0,1009868.666192465,5,0.6090990277477896,1955.3020505342024,29.646602552912938,45.0,23.20015536155132,"[1.5, 16, 2, 16, 0.5, 31.5]",1297.3410827971388,16556.32405995935,7.3333,0.4310392024146523,0.6090990277477896,2.0,18168000.0
TX_24_100_P01_LK4,11066111.136121841,38.97299651567944,-128689.72007952094,0.4545429751953418,-3683.6554411118213,11066111.136121841,30098.514677816835,-2550.7551667030993,-7857.164459320028,42062.52415786703,4,32982.58129185909,100,24,0.5359402104589617,126088.64335029284,-2367.791790664818,71.75,1418.7974518427293,18168000.0,1009868.666192465,5,0.6090990277477896,3713.80843544649,29.646602552912938,45.0,23.20015536155132,"[1.5, 16, 2, 16, 0.5, 31.5]",1297.3410827971388,16556.32405995935,7.3333,0.4310392024146523,0.6090990277477896,2.0,18168000.0
TX_24_100_P01_LK5,11066111.136121841,38.97299651567944,-244912.02215922717,0.4545429751953418,-6822.752057823277,11066111.136121841,30098.514677816835,-2550.7551667030993,-7857.164459320028,42062.52415786703,4,33623.342245254564,100,24,0.5359402104589617,233515.8878881782,-2184.472214876306,71.75,1418.7974518427293,18168000.0,1009868.666192465,5,0.6090990277477896,7068.044953952676,29.646602552912938,45.0,23.20015536155132,"[1.5, 16, 2, 16, 0.5, 31.5]",1297.3410827971388,16556.32405995935,7.3333,0.4310392024146523,0.6090990277477896,2.0,18168000.0
TX_24_100_P01_LK6,11066111.136121841,38.97299651567944,-332641.452688076,0.4545429751953418,-9221.62101999319,11066111.136121841,30098.514677816835,-2550.7551667030993,-7857.164459320028,42062.52415786703,4,33520.43872678986,100,24,0.5359402104589617,315558.30868247175,-2173.0892758660993,71.75,1418.7974518427293,18168000.0,1009868.666192465,5,0.6090990277477896,9601.541851077282,29.646602552912938,45.0,23.20015536155132,"[1.5, 16, 2, 16, 0.5, 31.5]",1297.3410827971388,16556.32405995935,7.3333,0.4310392024146523,0.6090990277477896,2.0,18168000.0
TX_24_100_P01_LK7,11066111.136121841,38.97299651567944,-435155.0103859068,0.4545429751953418,-11856.001363855023,11066111.136121841,30098.514677816835,-2550.7551667030993,-7857.164459320028,42062.52415786703,4,33797.763213187834,100,24,0.5359402104589617,405688.3684528196,-2070.508264641389,71.75,1418.7974518427293,18168000.0,1009868.666192465,5,0.6090990277477896,12560.892396221609,29.646602552912938,45.0,23.20015536155132,"[1.5, 16, 2, 16, 0.5, 31.5]",1297.3410827971388,16556.32405995935,7.3333,0.4310392024146523,0.6090990277477896,2.0,18168000.0
TX_24_100_P01_LK8,11066111.136121841,38.97299651567944,-506792.98025765654,0.4545429751953418,-13639.337806035728,11066111.136121841,30098.514677816835,-2550.7551667030993,-7857.164459320028,42062.52415786703,4,33999.98123741058,100,24,0.5359402104589617,466701.05398514925,-2001.3517222263047,71.75,1418.7974518427293,18168000.0,1009868.666192465,5,0.6090990277477896,14628.943838212703,29.646602552912938,45.0,23.20015536155132,"[1.5, 16, 2, 16, 0.5, 31.5]",1297.3410827971388,16556.32405995935,7.3333,0.4310392024146523,0.6090990277477896,2.0,18168000.0
TX_24_100_P01_LK9,11066111.136121841,38.97299651567944,-549353.4032460584,0.4545429751953418,-14673.706979593237,11066111.136121841,30098.514677816835,-2550.7551667030993,-7857.164459320028,42062.52415786703,4,34120.12536866531,100,24,0.5359402104589617,502089.78624655376,-1995.4256482560208,71.75,1418.7974518427293,18168000.0,1009868.666192465,5,0.6090990277477896,15857.56963956682,29.646602552912938,45.0,23.20015536155132,"[1.5, 16, 2, 16, 0.5, 31.5]",1297.3410827971388,16556.32405995935,7.3333,0.4310392024146523,0.6090990277477896,2.0,18168000.0
TX_24_100_R01_LK0,10495377.227805309,24.340000000000003,-8060.259730771864,0.4545429751953418,-233.1401925017067,10495377.227805309,31749.2436164888,-2926.6630170558724,-9877.214752747373,45470.14720458249,4,33082.507493748046,100,24,0.5082991315671385,7966.955609989209,-2382.9044124360817,85.7,1505.810492028768,18168000.0,550813.3444035017,5,0.5776847879681478,233.52198961723332,30.19646060728457,44.84,23.951725555193057,"[33, 291]",1325.5514114558287,17700.0,7.3333,0.4092156942883559,0.5776847879681478,3.8400000000000034,18168000.0
TX_24_100_R01_LK1,10495377.227805309,24.340000000000003,-17014.79355365725,0.4545429751953418,-495.23608950366565,10495377.227805309,31749.2436164888,-2926.6630170558724,-9877.214752747373,45470.14720458249,4,33105.05324139533,100,24,0.5082991315671385,16771.83943329403,-2373.489397771733,85.7,1505.810492028768,18168000.0,550813.3444035017,5,0.5776847879681478,496.7343596695861,30.19646060728457,44.84,23.951725555193057,"[33, 291]",1325.5514114558287,17700.0,7.3333,0.4092156942883559,0.5776847879681478,3.8400000000000034,18168000.0
TX_24_100_R01_LK2,10495377.227805309,24.340000000000003,-35560.247677449326,0.4545429751953418,-1035.6401893452069,10495377.227805309,31749.2436164888,-2926.6630170558724,-9877.214752747373,45470.14720458249,4,33151.88590592037,100,24,0.5082991315671385,34926.2454013842,-2353.9601121164956,85.7,1505.810492028768,18168000.0,550813.3444035017,5,0.5776847879681478,1041.7744568930086,30.19646060728457,44.84,23.951725555193057,"[33, 291]",1325.5514114558287,17700.0,7.3333,0.4092156942883559,0.5776847879681478,3.8400000000000034,18168000.0
TX_24_100_R01_LK3,10495377.227805309,24.340000000000003,-72357.79520048422,0.4545429751953418,-2098.5297747982595,10495377.227805309,31749.2436164888,-2926.6630170558724,-9877.214752747373,45470.14720458249,4,33245.401282012055,100,24,0.5082991315671385,70633.09706896088,-2315.0759645394987,85.7,1505.810492028768,18168000.0,550813.3444035017,5,0.5776847879681478,2123.2302790759804,30.19646060728457,44.84,23.951725555193057,"[33, 291]",1325.5514114558287,17700.0,7.3333,0.4092156942883559,0.5776847879681478,3.8400000000000034,18168000.0
TX_24_100_R01_LK4,10495377.227805309,24.340000000000003,-139586.20331978783,0.4545429751953418,-4007.67040573351,10495377.227805309,31749.2436164888,-2926.6630170558724,-9877.214752747373,45470.14720458249,4,33418.31646294632,100,24,0.5082991315671385,134769.01697463915,-2243.565451808176,85.7,1505.810492028768,18168000.0,550813.3444035017,5,0.5776847879681478,4099.019830959453,30.19646060728457,44.84,23.951725555193057,"[33, 291]",1325.5514114558287,17700.0,7.3333,0.4092156942883559,0.5776847879681478,3.8400000000000034,18168000.0
TX_24_100_R01_LK5,10495377.227805309,24.340000000000003,-245860.61266291334,0.4545429751953418,-6936.917191013668,10495377.227805309,31749.2436164888,-2926.6630170558724,-9877.214752747373,45470.14720458249,4,33697.25432490544,100,24,0.5082991315671385,233174.51637089046,-2129.2484922943604,85.7,1505.810492028768,18168000.0,550813.3444035017,5,0.5776847879681478,7222.315073819072,30.19646060728457,44.84,23.951725555193057,"[33, 291]",1325.5514114558287,17700.0,7.3333,0.4092156942883559,0.5776847879681478,3.8400000000000034,18168000.0
TX_24_100_R01_LK6,10495377.227805309,24.340000000000003,-380979.85480227345,0.4545429751953418,-10498.684159712517,10495377.227805309,31749.2436164888,-2926.6630170558724,-9877.214752747373,45470.14720458249,4,34062.149952392756,100,24,0.5082991315671385,352828.9814878923,-1981.5708308119308,85.7,1505.810492028768,18168000.0,550813.3444035017,5,0.5776847879681478,11193.283855626703,30.19646060728457,44.84,23.951725555193057,"[33, 291]",1325.5514114558287,17700.0,7.3333,0.4092156942883559,0.5776847879681478,3.8400000000000034,18168000.0
