Model,TandemMoment_df,eg,minendmoment,LR1,minXreaction,HS20Moment_df,Iy1,St1,St2,Iy2,I,numberofgirders,maxZreaction,span,width,LR2,maxendmoment,minZreaction,A,Sb2,HS20Moment,Kg,numberofdiaphragms,df,maxXreaction,ybar2,Y,maxmoment,ybar1,girders,Sb1,mindeflection,girderspacing,df1,df2,haunch,TandemMoment
TX_24_100_P01,10406968.979307348,25.201219512195124,-2487869.1678498327,0.4545429751953418,-70656.2537125492,10406968.979307348,30098.514677816835,-2550.7551667030993,-7857.164459320028,42062.52415786703,16556.32405995935,4,34278.89730701295,100,24,0.5040174525993895,2416826.6643747585,-6966.937401594849,71.75,1418.7974518427293,18168000.0,499756.58909663034,5,0.5728186360252834,72731.18143116705,29.646602552912938,45.0,6237356.66297637,23.20015536155132,"[1.5, 16, 2, 16, 0.5, 31.5]",1297.3410827971388,-0.6740481898004286,7.3333,0.4058351729956612,0.5728186360252834,2.0,18168000.0
TX_24_100_P02,10384758.28914515,26.254826254826256,-2526995.5894880695,0.4545429751953418,-68386.96172026034,10384758.28914515,30220.38701380221,-2523.969783127793,-8151.79071748516,42102.52309697304,15982.769325128698,4,34323.943889198345,100,24,0.5029417719186567,2456747.1359115927,-6985.620414807496,64.75,1343.618312499278,18168000.0,487618.5674241918,5,0.5715961189533878,70340.63081045594,31.33518105946153,46.5,6236045.320993144,24.526644686549286,"[1.25, 16, 1.75, 16, 0.5, 33.5]",1232.1451792537869,-0.6692737865601655,7.3333,0.4049858889945141,0.5715961189533878,2.0,18168000.0
TX_24_100_P03,10334356.83955966,27.328333333333337,-2580440.213619497,0.4545429751953418,-65150.1296388747,10334356.83955966,30022.436869057747,-2533.089961649713,-8819.63138834349,41343.382311861795,15303.963125000002,4,34408.53209152193,100,24,0.5005007912375472,2512496.1048143557,-7021.173709050798,56.25,1209.3182834382678,18168000.0,461052.8973827399,5,0.5688219308432221,66910.40856126214,34.18734577824834,48.88,6227087.983647499,27.022899473137866,"[1, 16, 1.375, 16, 0.5, 36.5]",1110.9998354877341,-0.6732940470821983,7.3333,0.40305865735718155,0.5688219308432221,2.0050000000000026,18168000.0
TX_24_100_R01,10495377.227805309,24.340000000000003,-2504319.255738473,0.4545429751953418,-71402.64318572698,10495377.227805309,31749.2436164888,-2926.6630170558724,-9877.214752747373,45470.14720458249,17700.0,4,35097.78686203956,100,24,0.5082991315671385,2397851.808388501,-7227.987772874563,85.7,1505.810492028768,18168000.0,550813.3444035017,5,0.5776847879681478,74569.36659220254,30.19646060728457,44.84,6280106.254697729,23.951725555193057,"[33, 291]",1325.5514114558287,-0.6026249367678551,7.3333,0.4092156942883559,0.5776847879681478,3.8400000000000034,18168000.0
TX_24_100_R02,10454239.133990798,24.85,-2600114.9594912264,0.4545429751953418,-69325.45445612315,10454239.133990798,31685.018103413757,-2793.1490403223384,-8979.160848562839,44366.29013823585,17900.0,4,35131.862521137424,100,24,0.506306782277887,2495407.698917924,-7212.735392491493,77.0,1388.226470690838,18168000.0,526499.1867094361,5,0.5754204719281593,72231.63239658615,31.95897144660941,46.85,6258561.162406511,25.556166339137704,"[36, 262]",1239.8189025280403,-0.6116844284430082,7.3333,0.4076426713584419,0.5754204719281593,2.8500000000000014,18168000.0
TX_24_100_R03,10317751.984597543,24.979999999999997,-2605321.7587785884,0.4545429751953418,-65676.98159328589,10317751.984597543,28657.935209657422,-2475.975406780171,-7437.720445510803,38687.37869627458,16700.0,4,35039.205412370866,100,24,0.4996966054351845,2509062.594463598,-7053.735191769917,63.4,1144.6481459697752,18168000.0,452590.4867561431,5,0.5679079692094641,68194.39758085951,33.79848980884658,48.98,6265400.067186386,27.425597794234548,"[40, 215]",1044.933839716775,-0.6900027469970266,7.3333,0.40242372717006397,0.5679079692094641,0.9799999999999969,18168000.0
TX_24_105_P01,11035030.83124854,26.728277591973242,-2546568.5584466695,0.4545429751953418,-69102.76789038941,11035030.83124854,34653.276835943456,-2643.554439877359,-7681.094556874473,48528.308468326424,19260.505138656634,4,33830.41253845029,105,24,0.5044479681394445,2484186.5397787318,-6955.257385604117,74.75,1575.230784508438,19248000.000000004,584521.237149993,6,0.573307919329205,70835.78167425195,30.80711026319234,47.12,6629886.489697952,24.016407903991905,"[1.5, 16, 2.125, 16, 0.5, 33.5]",1442.9000779164621,-0.6900755422109497,7.3333,0.40448471248757245,0.573307919329205,1.9949999999999974,19248000.000000004
TX_24_105_P02,10941825.913183752,27.897088353413654,-2707918.068938552,0.4545429751953418,-68269.79651917536,10941825.913183752,33311.12994203071,-2590.550481974854,-8262.289670996543,46231.93307992246,17456.01650351406,4,34271.35685403849,105,24,0.5001872612816761,2645590.714120495,-7083.708557055417,62.25,1373.72361795242,19248000.000000004,530140.8282582037,6,0.5684656023058889,69876.67190337954,33.65446475240243,49.25,6545227.878279294,26.391292874309617,"[1.125, 16, 1.625, 16, 0.5, 36.5]",1262.20151853406,-0.7020210274881442,7.3333,0.40113717550723266,0.5684656023058889,2.0,19248000.000000004
TX_24_105_R01,11104193.574965822,25.33,-2715745.6523838844,0.4545429751953418,-72470.29842802964,11104193.574965822,36096.237616726125,-2987.490050395953,-8933.03990427023,51004.36383533626,21100.0,4,35022.75788081253,105,24,0.507609627229724,2612376.800113489,-7330.4824269283035,88.8,1614.5542410815128,19248000.000000004,628064.7481377979,6,0.5769011624566615,75334.9598245725,31.590368745475452,47.33,6585683.774121618,25.217537127214182,"[36, 302]",1431.3942489558942,-0.6209479892124437,7.3333,0.4069687535345742,0.5769011624566615,3.3299999999999983,19248000.000000004
TX_24_105_R02,10954915.581014898,25.380000000000003,-2724894.5319406656,0.4545429751953418,-68718.2853301138,10954915.581014898,32686.496181282208,-2641.692196779407,-7478.295716252316,44611.97796947251,19600.0,4,34962.05104097878,105,24,0.5007856335419822,2631027.1792108263,-7157.770151028719,73.3,1334.3108024356145,19248000.000000004,537492.2648502095,6,0.5691456557052627,71167.7109003137,33.434472604163155,49.38,6592276.2237589015,27.026682540406625,"[40, 249]",1209.4157739268887,-0.6998113778446392,7.3333,0.40160730249232013,0.5691456557052627,1.3800000000000026,19248000.000000004
