Model,TandemMoment_df,eg,minendmoment,LR1,minXreaction,HS20Moment_df,Iy1,St1,St2,Iy2,I,numberofgirders,maxZreaction,span,width,LR2,maxendmoment,minZreaction,A,Sb2,HS20Moment,Kg,numberofdiaphragms,df,maxXreaction,ybar2,Y,maxmoment,ybar1,girders,Sb1,mindeflection,girderspacing,df1,df2,haunch,TandemMoment
TX_24_120_R01_LK0,12850741.6636679,26.6,-106774.58421286459,0.4545429751953418,-2724.6781550004034,12850741.6636679,45517.27235932339,-3169.5793647931573,-7859.6968974682,63585.16576544025,28900.0,4,33238.61598890276,120,24,0.5028121884833762,105553.35195280937,-2756.4611103624384,107.0,1955.8665020177664,22488000.0,841515.0063456049,6,0.5714488466590137,2754.6337715807304,32.50997228074755,50.6,8631443.348193025,26.23933345070418,"[40, 362]",1734.696212647195,-0.8789363399038993,7.3333,0.3986337113445951,0.5714488466590137,2.6000000000000014,22488000.0
TX_24_120_R01_LK1,12850741.6636679,26.6,-221430.69701424753,0.4545429751953418,-5649.1686809821485,12850741.6636679,45517.27235932339,-3169.5793647931573,-7859.6968974682,63585.16576544025,28900.0,4,33259.54244622121,120,24,0.5028121884833762,218900.4524515936,-2932.6078423089866,107.0,1955.8665020177664,22488000.0,841515.0063456049,6,0.5714488466590137,5712.889272496739,32.50997228074755,50.6,8589819.815560846,26.23933345070418,"[40, 362]",1734.696212647195,-0.8736939679014775,7.3333,0.3986337113445951,0.5714488466590137,2.6000000000000014,22488000.0
TX_24_120_R01_LK2,12850741.6636679,26.6,-441513.0639702485,0.4545429751953418,-11257.620479457659,12850741.6636679,45517.27235932339,-3169.5793647931573,-7859.6968974682,63585.16576544025,28900.0,4,33302.85296465687,120,24,0.5028121884833762,436272.24319737125,-3269.4464620904546,107.0,1955.8665020177664,22488000.0,841515.0063456049,6,0.5714488466590137,11391.258318978958,32.50997228074755,50.6,8510635.587425936,26.23933345070418,"[40, 362]",1734.696212647195,-0.8636374601138699,7.3333,0.3986337113445951,0.5714488466590137,2.6000000000000014,22488000.0
TX_24_120_R01_LK3,12850741.6636679,26.6,-819755.8671958725,0.4545429751953418,-20877.997525775838,12850741.6636679,45517.27235932339,-3169.5793647931573,-7859.6968974682,63585.16576544025,28900.0,4,33388.883419266946,120,24,0.5028121884833762,809137.8085404193,-3843.6798800962874,107.0,1955.8665020177664,22488000.0,841515.0063456049,6,0.5714488466590137,21150.33711928168,32.50997228074755,50.6,8374744.452272217,26.23933345070418,"[40, 362]",1734.696212647195,-0.8463766848769475,7.3333,0.3986337113445951,0.5714488466590137,2.6000000000000014,22488000.0
TX_24_120_R01_LK4,12850741.6636679,26.6,-1361387.0903455187,0.4545429751953418,-34599.50596501563,12850741.6636679,45517.27235932339,-3169.5793647931573,-7859.6968974682,63585.16576544025,28900.0,4,33547.283670056866,120,24,0.5028121884833762,1340954.5896622755,-4651.972586517925,107.0,1955.8665020177664,22488000.0,841515.0063456049,6,0.5714488466590137,35125.00161247845,32.50997228074755,50.6,8180744.190119102,26.23933345070418,"[40, 362]",1734.696212647195,-0.8217277904931689,7.3333,0.3986337113445951,0.5714488466590137,2.6000000000000014,22488000.0
TX_24_120_R01_LK5,12850741.6636679,26.6,-1965041.2818155373,0.4545429751953418,-49775.596796512466,12850741.6636679,45517.27235932339,-3169.5793647931573,-7859.6968974682,63585.16576544025,28900.0,4,33803.556543119696,120,24,0.5028121884833762,1929147.9673253088,-5521.899883058868,107.0,1955.8665020177664,22488000.0,841515.0063456049,6,0.5714488466590137,50699.89235572603,32.50997228074755,50.6,7965826.826796139,26.23933345070418,"[40, 362]",1734.696212647195,-0.794423004475466,7.3333,0.3986337113445951,0.5714488466590137,2.6000000000000014,22488000.0
TX_24_120_R01_LK6,12850741.6636679,26.6,-2477005.0656966153,0.4545429751953418,-62482.09268976672,12850741.6636679,45517.27235932339,-3169.5793647931573,-7859.6968974682,63585.16576544025,28900.0,4,34143.92353937209,120,24,0.5028121884833762,2421625.2348590847,-6271.944220474087,107.0,1955.8665020177664,22488000.0,841515.0063456049,6,0.5714488466590137,63909.02809035604,32.50997228074755,50.6,7787029.598524485,26.23933345070418,"[40, 362]",1734.696212647195,-0.7716042804019906,7.3333,0.3986337113445951,0.5714488466590137,2.6000000000000014,22488000.0
TX_24_120_R01_LK7,12850741.6636679,26.6,-2820681.960601048,0.4545429751953418,-70867.43668482266,12850741.6636679,45517.27235932339,-3169.5793647931573,-7859.6968974682,63585.16576544025,28900.0,4,34494.19933820228,120,24,0.5028121884833762,2746624.020912766,-6845.04530132862,107.0,1955.8665020177664,22488000.0,841515.0063456049,6,0.5714488466590137,72776.15967138305,32.50997228074755,50.6,7669655.32937313,26.23933345070418,"[40, 362]",1734.696212647195,-0.7564912469433339,7.3333,0.3986337113445951,0.5714488466590137,2.6000000000000014,22488000.0
TX_24_120_R01_LK8,12850741.6636679,26.6,-3016724.313309863,0.4545429751953418,-75570.7307455545,12850741.6636679,45517.27235932339,-3169.5793647931573,-7859.6968974682,63585.16576544025,28900.0,4,34770.722320180634,120,24,0.5028121884833762,2928914.3950508437,-7167.59502113519,107.0,1955.8665020177664,22488000.0,841515.0063456049,6,0.5714488466590137,77834.17554099756,32.50997228074755,50.6,7603739.677761585,26.23933345070418,"[40, 362]",1734.696212647195,-0.7479922782774828,7.3333,0.3986337113445951,0.5714488466590137,2.6000000000000014,22488000.0
TX_24_120_R01_LK9,12850741.6636679,26.6,-3118086.608704812,0.4545429751953418,-77972.25169811785,12850741.6636679,45517.27235932339,-3169.5793647931573,-7859.6968974682,63585.16576544025,28900.0,4,34946.21420074745,120,24,0.5028121884833762,3021992.7611851287,-7332.986705726966,107.0,1955.8665020177664,22488000.0,841515.0063456049,6,0.5714488466590137,80449.37413687118,32.50997228074755,50.6,7570077.100074046,26.23933345070418,"[40, 362]",1734.696212647195,-0.7436472675865369,7.3333,0.3986337113445951,0.5714488466590137,2.6000000000000014,22488000.0
