Model,span,width,Y,girders,girderspacing,numberofdiaphragms,haunch,numberofgirders,minendmoment,maxendmoment,maxmoment,maxZreaction,minZreaction,maxXreaction,minXreaction,mindeflection,Kg,df,df1,df2,LR1,LR2
TX_24_100_P01,100,24,45,"[1.5, 16, 2, 16, 0.5, 31.5]",7.3333,5,2,4,-91.93375393,100684.605,7145736.017,14638.36942,-1998.585439,4.90E-08,-2.72E-08,-0.79367886,499756.5891,0.572818636,0.405835173,0.572818636,0.454542975,0.504017453
TX_24_100_P02,100,24,46.5,"[1.25, 16, 1.75, 16, 0.5, 33.5]",7.3333,5,2,4,-91.41815985,100668.479,7160794.138,14625.90614,-1995.528032,1.18E-08,-2.16E-08,-0.792970045,487618.5674,0.571596119,0.404985889,0.571596119,0.454542975,0.502941772
TX_24_100_P03,100,24,48.88,"[1, 16, 1.375, 16, 0.5, 36.5]",7.3333,5,2.005,4,-74.83444558,100284.0974,7165960.417,14617.38854,-1996.036639,6.96E-09,-2.49E-08,-0.802809083,461052.8974,0.568821931,0.403058657,0.568821931,0.454542975,0.500500791
TX_24_100_R01,100,24,45,"[33, 291]",7.3333,5,4,4,-143.2714067,102973.348,7190368.251,14647.21655,-1979.48604,4.27E-08,-3.13E-08,-0.715855568,423146.4056,0.56460333,0.400127991,0.56460333,0.454542975,0.496788886
TX_24_100_R02,100,24,46.5,"[36, 262]",7.3333,5,2.5,4,-122.1476104,101907.2741,7199241.811,14643.34671,-1986.581959,1.53E-07,-1.27E-07,-0.745555538,380574.0831,0.559439133,0.396540417,0.559439133,0.454542975,0.492244961
TX_24_100_R03,100,24,48.88,"[40, 215]",7.3333,5,0.88,4,-117.1586267,124525.1895,7222899.173,14597.00929,-2014.149205,7.20E-07,-8.05E-07,-0.833874655,322109.568,0.551426226,0.390973841,0.551426226,0.454542975,0.485194483
TX_24_105_P01,105,24,47.12,"[1.5, 16, 2.125, 16, 0.5, 33.5]",7.3333,6,1.995,4,-1236.308088,121630.0776,7608949.462,14549.96314,-2012.811843,1.27E-08,-5.57E-09,-0.811396007,584521.2371,0.573307919,0.404484712,0.573307919,0.454542975,0.504447968
TX_24_105_P02,105,24,49.25,"[1.125, 16, 1.625, 16, 0.5, 36.5]",7.3333,6,2,4,-77.03223324,100474.0194,7544425.272,14602.15204,-2020.304883,9.97E-09,-1.00E-08,-0.834429658,530140.8283,0.568465602,0.401137176,0.568465602,0.454542975,0.500187261
TX_24_105_R01,105,24,47.12,"[36, 302]",7.3333,6,3.12,4,-131.070118,102952.6707,7585290.003,14627.23335,-2011.246455,0.000122869,-5.67E-05,-0.750126982,461217.7204,0.561640622,0.396419005,0.561640622,0.454542975,0.494182028
TX_24_105_R02,105,24,49.25,"[40, 249]",7.3333,6,1.25,4,-775.4063789,121229.1724,7608510.91,14581.72693,-2034.375623,7.94E-08,-4.30E-07,-0.844218587,383390.2734,0.55272929,0.390258522,0.55272929,0.454542975,0.486341035
TX_24_110_P01,110,24,49.62,"[1.25, 16, 1.875, 16, 0.5, 36.5]",7.3333,6,1.995,4,-746.9821368,122178.1272,7975869.659,14542.32917,-2016.694106,1.07E-08,-6.10E-09,-0.881819571,600692.2976,0.56772329,0.399038198,0.56772329,0.454542975,0.499534108
TX_24_110_R01,110,24,49.62,"[40, 277]",7.3333,6,1.62,4,-844.8600711,122372.7265,7979215.396,14576.59645,-2034.039149,3.91E-08,-4.79E-08,-0.878585312,438175.4602,0.552422288,0.388509724,0.552422288,0.454542975,0.486070908
TX_24_115_P01,115,24,50.25,"[1.625, 16, 2.125, 16, 0.5, 36.5]",7.3333,6,2,4,-79.62615907,100838.4764,8296694.939,14590.75557,-2019.648714,1.48E-08,-1.58E-08,-0.899545299,682927.854,0.56745506,0.397346252,0.56745506,0.454542975,0.499298095
TX_24_115_R01,115,24,50.25,"[40, 324]",7.3333,6,2.25,4,-110.638392,101522.8702,8318115.776,14611.53977,-2018.906843,6.47E-08,-6.51E-08,-0.862280013,538070.4291,0.555853779,0.389399032,0.555853779,0.454542975,0.489090243
TX_24_120_P01,120,24,50.62,"[1.75, 16, 2.375, 16, 0.5, 36.5]",7.3333,6,1.995,4,-810.5355564,124192.7027,8715986.756,14539.11608,-2018.356015,5.47E-09,-9.11E-09,-0.953269467,757308.2956,0.566242113,0.395082136,0.566242113,0.454542975,0.498230835
TX_24_120_R01,120,24,50.62,"[40, 362]",7.3333,6,2.62,4,-119.6624472,101973.2786,8670921.889,14605.58431,-2018.779661,1.52E-08,-1.56E-08,-0.883242664,621049.5608,0.556593865,0.38850095,0.556593865,0.454542975,0.489741437
TX_24_30_P01,30,24,29.25,"[1, 12, 1.25, 12, 0.5, 17]",7.3333,3,2,4,-190.4561719,118258.3713,2021536.751,14496.34043,-1147.533756,1.17E-09,-1.32E-09,-0.101989331,95347.312,0.681750996,0.535813353,0.681750996,0.454542975,0.599865958
TX_24_30_P02,30,24,31.5,"[0.75, 12, 1.25, 12, 0.5, 19.5]",7.3333,3,2,4,-1661.815063,119946.4756,2039498.099,14439.65717,-1142.879595,7.59E-10,-1.09E-09,-0.087080259,113952.9399,0.69266388,0.544371224,0.69266388,0.454542975,0.609468098
TX_24_30_P03,30,24,34.12,"[0.75, 12, 0.875, 12, 0.5, 22.5]",7.3333,3,1.995,4,-6334.158636,134182.2221,2068464.403,14346.4055,-1177.681941,7.30E-10,-7.13E-10,-0.089131518,110488.9159,0.690760071,0.542878259,0.690760071,0.454542975,0.607792954
TX_24_30_P04,30,24,37.25,"[0.75, 14, 1, 14, 0.5, 25.5]",7.3333,3,2,4,-3873.086609,122756.4585,2060888.588,14320.22247,-1069.546873,1.79E-09,-8.74E-10,-0.062296176,168798.17,0.717416113,0.563781893,0.717416113,0.454542975,0.631247343
TX_24_30_P05,30,24,40.75,"[1, 15, 1.25, 15, 0.5, 28.5]",7.3333,3,2,4,-5059.166761,124440.2963,2077982.958,14210.08938,-976.7692318,5.19E-10,-3.18E-10,-0.045097031,261489.3248,0.746158429,0.58632158,0.746158429,0.454542975,0.656537422
TX_24_30_P06,30,24,43,"[0.75, 12, 0.75, 12, 0.5, 31.5]",7.3333,3,2,4,-4442.535923,123556.6416,2079112.785,14286.57256,-1056.230698,5.68E-10,-5.55E-10,-0.055257765,185579.1877,0.723533746,0.568579333,0.723533746,0.454542975,0.636630187
TX_24_30_P07,30,24,45.62,"[0.75, 12, 0.875, 12, 0.5, 34]",7.3333,3,1.995,4,-7663.66278,136268.7162,2099316.829,14165.98053,-1025.466635,6.99E-10,-1.01E-09,-0.047076524,236480.6125,0.739445258,0.58105712,0.739445258,0.454542975,0.650630569
TX_24_30_P08,30,24,48.25,"[0.75, 12, 1, 12, 0.5, 36.5]",7.3333,3,2,4,-5485.981786,125131.0085,2089075.354,14173.12952,-956.8968268,8.42E-10,-1.03E-09,-0.038454291,295778.7071,0.754479475,0.592846934,0.754479475,0.454542975,0.663859028
TX_24_30_R01,30,24,29.25,"[18, 130]",7.3333,3,3.25,4,-1154.167368,119854.4049,2024678.138,14472.54361,-1092.720012,2.73E-09,-1.86E-09,-0.08729221,83381.61626,0.67366888,0.529475369,0.67366888,0.454542975,0.592754585
TX_24_30_R02,30,24,31.5,"[21, 122]",7.3333,3,2.5,4,-1690.211552,120489.3331,2045625.997,14467.73866,-1109.673841,8.74E-10,-6.81E-10,-0.082485137,85914.8954,0.675463342,0.530882583,0.675463342,0.454542975,0.594333514
TX_24_30_R03,30,24,34.12,"[24, 104]",7.3333,3,2.12,4,-1840.489118,120603.4894,2051842.183,14462.81706,-1133.478818,4.97E-09,-3.88E-09,-0.082077572,82905.75146,0.673326335,0.529206745,0.673326335,0.454542975,0.592453183
TX_24_30_R04,30,24,37.25,"[27, 146]",7.3333,3,2.25,4,-4174.364166,123779.259,2071548.65,14308.82237,-1001.216688,3.79E-08,-2.50E-08,-0.052851431,138803.4952,0.704969745,0.554021467,0.704969745,0.454542975,0.620295906
TX_24_30_R05,30,24,40.75,"[30, 173]",7.3333,3,2.75,4,-4969.949696,125052.1469,2083705.804,14206.74396,-911.2795351,1.27E-09,-1.13E-09,-0.038902841,198891.02,0.728042084,0.572114766,0.728042084,0.454542975,0.64059703
TX_24_30_R06,30,24,43,"[33, 118]",7.3333,3,2,4,-4574.508804,124271.9877,2086634.622,14290.52956,-1012.172668,4.11E-09,-7.80E-10,-0.048992038,142819.1041,0.706768957,0.555432407,0.706768957,0.454542975,0.621879016
TX_24_30_R07,30,24,45.62,"[36, 135]",7.3333,3,1.62,4,-7438.253773,136636.4893,2101721.13,14152.41807,-958.0043663,1.15E-09,-3.80E-09,-0.04050258,179983.6227,0.721551243,0.567024657,0.721551243,0.454542975,0.634885803
