Model,TandemMoment_df,eg,minendmoment,LR1,minXreaction,HS20Moment_df,Iy1,St1,St2,Iy2,I,numberofgirders,maxZreaction,span,width,LR2,maxendmoment,minZreaction,A,Sb2,HS20Moment,Kg,numberofdiaphragms,df,maxXreaction,ybar2,Y,maxmoment,ybar1,girders,Sb1,mindeflection,girderspacing,df1,df2,haunch,TandemMoment
TX_24_100_P01,10406968.979307348,25.201219512195124,-307408.64127533167,0.4545429751953418,-5666.231740484228,10406968.979307348,30098.514677816835,-2550.7551667030993,-7857.164459320028,42062.52415786703,16556.32405995935,4,34243.318600021914,100,24,0.5040174525993895,193669.36605285804,-1995.2225635992795,71.75,1418.7974518427293,18168000.0,499756.58909663034,5,0.5728186360252834,8885.169942943226,29.646602552912938,45.0,7147498.867153027,23.20015536155132,"[1.5, 16, 2, 16, 0.5, 31.5]",1297.3410827971388,-0.7942889505119285,7.3333,0.4058351729956612,0.5728186360252834,2.0,18168000.0
TX_24_100_P02,10384758.28914515,26.254826254826256,-314210.2426625125,0.4545429751953418,-5515.7409685991,10384758.28914515,30220.38701380221,-2523.969783127793,-8151.79071748516,42102.52309697304,15982.769325128698,4,34286.37566786815,100,24,0.5029417719186567,197996.66594588224,-1992.6387964532066,64.75,1343.618312499278,18168000.0,487618.5674241918,5,0.5715961189533878,8652.456901405614,31.33518105946153,46.5,7161714.965588832,24.526644686549286,"[1.25, 16, 1.75, 16, 0.5, 33.5]",1232.1451792537869,-0.7929083129627102,7.3333,0.4049858889945141,0.5715961189533878,2.0,18168000.0
TX_24_100_P03,10334356.83955966,27.328333333333337,-329597.57779193606,0.4545429751953418,-5322.3042225954605,10334356.83955966,30022.436869057747,-2533.089961649713,-8819.63138834349,41343.382311861795,15303.963125000002,4,34376.32937954043,100,24,0.5005007912375472,205098.4967459646,-1993.3957790108332,56.25,1209.3182834382678,18168000.0,461052.8973827399,5,0.5688219308432221,8356.061454255827,34.18734577824834,48.88,7166986.95734783,27.022899473137866,"[1, 16, 1.375, 16, 0.5, 36.5]",1110.9998354877341,-0.8027516071729037,7.3333,0.40305865735718155,0.5688219308432221,2.0050000000000026,18168000.0
TX_24_100_R01,10495377.227805309,24.340000000000003,-358999.64015378343,0.4545429751953418,-6539.01277742358,10495377.227805309,31749.2436164888,-2926.6630170558724,-9877.214752747373,45470.14720458249,17700.0,4,35072.79777407346,100,24,0.5082991315671385,219549.2732373768,-1974.5740697906508,85.7,1505.810492028768,18168000.0,550813.3444035017,5,0.5776847879681478,10557.92976081785,30.19646060728457,44.84,7190162.404602656,23.951725555193057,"[33, 291]",1325.5514114558287,-0.7204495749216908,7.3333,0.4092156942883559,0.5776847879681478,3.8400000000000034,18168000.0
TX_24_100_R02,10454239.133990798,24.85,-374951.8813394139,0.4545429751953418,-6382.6823267599175,10454239.133990798,31685.018103413757,-2793.1490403223384,-8979.160848562839,44366.29013823585,17900.0,4,35105.941965576414,100,24,0.506306782277887,229685.63301266596,-1978.1979765163035,77.0,1388.226470690838,18168000.0,526499.1867094361,5,0.5754204719281593,10302.61167874586,31.95897144660941,46.85,7206442.202809073,25.556166339137704,"[36, 262]",1239.8189025280403,-0.7351110053083968,7.3333,0.4076426713584419,0.5754204719281593,2.8500000000000014,18168000.0
TX_24_100_R03,10317751.984597543,24.979999999999997,-396775.5891279173,0.4545429751953418,-6399.70050947166,10317751.984597543,28657.935209657422,-2475.975406780171,-7437.720445510803,38687.37869627458,16700.0,4,35008.40680774422,100,24,0.4996966054351845,244413.99385337753,-2009.5696989419703,63.4,1144.6481459697752,18168000.0,452590.4867561431,5,0.5679079692094641,10297.712197762372,33.79848980884658,48.98,7226753.844556493,27.425597794234548,"[40, 215]",1044.933839716775,-0.8305006755437079,7.3333,0.40242372717006397,0.5679079692094641,0.9799999999999969,18168000.0
TX_24_105_P01,11035030.83124854,26.728277591973242,-284283.2026795091,0.4545429751953418,-5032.080977971741,11035030.83124854,34653.276835943456,-2643.554439877359,-7681.094556874473,48528.308468326424,19260.505138656634,4,33796.05311985041,105,24,0.5044479681394445,180785.59688094966,-2010.8932254518718,74.75,1575.230784508438,19248000.000000004,584521.237149993,6,0.573307919329205,7840.576409917145,30.80711026319234,47.12,7609647.781472319,24.016407903991905,"[1.5, 16, 2.125, 16, 0.5, 33.5]",1442.9000779164621,-0.8113559899791397,7.3333,0.40448471248757245,0.573307919329205,1.9949999999999974,19248000.000000004
TX_24_105_P02,10941825.913183752,27.897088353413654,-377445.54221471434,0.4545429751953418,-5953.81027844027,10941825.913183752,33311.12994203071,-2590.550481974854,-8262.289670996543,46231.93307992246,17456.01650351406,4,35004.50483617701,105,24,0.5001872612816761,230635.26384943313,-2017.2365822396232,62.25,1373.72361795242,19248000.000000004,530140.8282582037,6,0.5684656023058889,9638.782778650144,33.65446475240243,49.25,7565941.704946782,26.391292874309617,"[1.125, 16, 1.625, 16, 0.5, 36.5]",1262.20151853406,-0.8132670420669094,7.3333,0.40113717550723266,0.5684656023058889,2.0,19248000.000000004
TX_24_105_R01,11104193.574965822,25.33,-363566.9481276447,0.4545429751953418,-6162.294850964351,11104193.574965822,36096.237616726125,-2987.490050395953,-8933.03990427023,51004.36383533626,21100.0,4,34998.22637264235,105,24,0.507609627229724,222088.74024002798,-2005.621760362907,88.8,1614.5542410815128,19248000.000000004,628064.7481377979,6,0.5769011624566615,9975.395196210335,31.590368745475452,47.33,7590028.607028813,25.217537127214182,"[36, 302]",1431.3942489558942,-0.7440493342978262,7.3333,0.4069687535345742,0.5769011624566615,3.3299999999999983,19248000.000000004
TX_24_105_R02,10954915.581014898,25.380000000000003,-386604.43294724,0.4545429751953418,-6200.472014303181,10954915.581014898,32686.496181282208,-2641.692196779407,-7478.295716252316,44611.97796947251,19600.0,4,34933.94856012194,105,24,0.5007856335419822,237342.8652544103,-2030.8224221236133,73.3,1334.3108024356145,19248000.000000004,537492.2648502095,6,0.5691456557052627,10010.970444974708,33.434472604163155,49.38,7612369.488589601,27.026682540406625,"[40, 249]",1209.4157739268887,-0.8399896460420168,7.3333,0.40160730249232013,0.5691456557052627,1.3800000000000026,19248000.000000004
