Model,TandemMoment_df,eg,minendmoment,LR1,minXreaction,HS20Moment_df,Iy1,St1,St2,Iy2,numberofgirders,maxZreaction,span,width,LR2,maxendmoment,minZreaction,A,Sb2,HS20Moment,Kg,numberofdiaphragms,df,maxXreaction,ybar2,Y,mindeflection,maxmoment,ybar1,girders,Sb1,I,girderspacing,df1,df2,haunch,TandemMoment
TX_24_100_P01,10406968.979307348,25.201219512195124,-2489423.3947225716,0.4545429751953418,-70678.13370950382,10406968.979307348,30098.514677816835,-2550.7551667030993,-7857.164459320028,42062.52415786703,4,34280.22563828899,100,24,0.5040174525993895,2417575.5066799787,-6967.779302922205,71.75,1418.7974518427293,18168000.0,499756.58909663034,5,0.5728186360252834,72776.59567561024,29.646602552912938,45.0,-0.6733720841543843,6236599.642640329,23.20015536155132,"[1.5, 16, 2, 16, 0.5, 31.5]",1297.3410827971388,16556.32405995935,7.3333,0.4058351729956612,0.5728186360252834,2.0,18168000.0
TX_24_100_P02,10384758.28914515,26.254826254826256,-2526995.589453198,0.4545429751953418,-68386.96171942793,10384758.28914515,30220.38701380221,-2523.969783127793,-8151.79071748516,42102.52309697304,4,34323.94388919529,100,24,0.5029417719186567,2456747.1358817294,-6985.620414722256,64.75,1343.618312499278,18168000.0,487618.5674241918,5,0.5715961189533878,70340.63080948505,31.33518105946153,46.5,-0.6692737865540112,6236045.320934041,24.526644686549286,"[1.25, 16, 1.75, 16, 0.5, 33.5]",1232.1451792537869,15982.769325128698,7.3333,0.4049858889945141,0.5715961189533878,2.0,18168000.0
TX_24_100_P03,10334356.83955966,27.328333333333337,-2580440.213594666,0.4545429751953418,-65150.129638363265,10334356.83955966,30022.436869057747,-2533.089961649713,-8819.63138834349,41343.382311861795,4,34408.53209152302,100,24,0.5005007912375472,2512496.104794621,-7021.173708912744,56.25,1209.3182834382678,18168000.0,461052.8973827399,5,0.5688219308432221,66910.40856061857,34.18734577824834,48.88,-0.6732940470807891,6227087.983626723,27.022899473137866,"[1, 16, 1.375, 16, 0.5, 36.5]",1110.9998354877341,15303.963125000002,7.3333,0.40305865735718155,0.5688219308432221,2.0050000000000026,18168000.0
TX_24_100_R01,10495377.227805309,24.340000000000003,-2497208.362133787,0.4545429751953418,-71201.73411726711,10495377.227805309,31749.2436164888,-2926.6630170558724,-9877.214752747373,45470.14720458249,4,35096.02358140301,100,24,0.5082991315671385,2391109.374818353,-7233.09968798925,85.7,1505.810492028768,18168000.0,550813.3444035017,5,0.5776847879681478,74357.41506158902,30.19646060728457,44.84,-0.598617864902368,6284173.8506978,23.951725555193057,"[33, 291]",1325.5514114558287,17700.0,7.3333,0.4092156942883559,0.5776847879681478,3.8400000000000034,18168000.0
TX_24_100_R02,10454239.133990798,24.85,-2615671.3050701446,0.4545429751953418,-69735.6212409599,10454239.133990798,31685.018103413757,-2793.1490403223384,-8979.160848562839,44366.29013823585,4,35135.93300266019,100,24,0.506306782277887,2510162.2078953832,-7200.9824755582285,77.0,1388.226470690838,18168000.0,526499.1867094361,5,0.5754204719281593,72664.21693928157,31.95897144660941,46.85,-0.6204822812014666,6249742.185861556,25.556166339137704,"[36, 262]",1239.8189025280403,17900.0,7.3333,0.4076426713584419,0.5754204719281593,2.8500000000000014,18168000.0
TX_24_100_R03,10317751.984597543,24.979999999999997,-2610011.0760770347,0.4545429751953418,-65794.00022376516,10317751.984597543,28657.935209657422,-2475.975406780171,-7437.720445510803,38687.37869627458,4,35040.00600800832,100,24,0.4996966054351845,2513528.5917879897,-7051.27007097967,63.4,1144.6481459697752,18168000.0,452590.4867561431,5,0.5679079692094641,68317.3025318839,33.79848980884658,48.98,-0.6927861184350811,6262721.526934455,27.425597794234548,"[40, 215]",1044.933839716775,16700.0,7.3333,0.40242372717006397,0.5679079692094641,0.9799999999999969,18168000.0
TX_24_105_P01,11035030.83124854,26.728277591973242,-2546568.558435929,0.4545429751953418,-69102.76789016192,11035030.83124854,34653.276835943456,-2643.554439877359,-7681.094556874473,48528.308468326424,4,33830.412538445555,105,24,0.5044479681394445,2484186.5397705436,-6955.257385620447,74.75,1575.230784508438,19248000.000000004,584521.237149993,6,0.573307919329205,70835.7816739547,30.80711026319234,47.12,-0.690075542206464,6629886.489661165,24.016407903991905,"[1.5, 16, 2.125, 16, 0.5, 33.5]",1442.9000779164621,19260.505138656634,7.3333,0.40448471248757245,0.573307919329205,1.9949999999999974,19248000.000000004
TX_24_105_P02,10941825.913183752,27.897088353413654,-2707918.068894432,0.4545429751953418,-68269.79651819747,10941825.913183752,33311.12994203071,-2590.550481974854,-8262.289670996543,46231.93307992246,4,34271.356854024925,105,24,0.5001872612816761,2645590.7140826015,-7083.708557027983,62.25,1373.72361795242,19248000.000000004,530140.8282582037,6,0.5684656023058889,69876.67190224075,33.65446475240243,49.25,-0.7020210274757588,6545227.878175985,26.391292874309617,"[1.125, 16, 1.625, 16, 0.5, 36.5]",1262.20151853406,17456.01650351406,7.3333,0.40113717550723266,0.5684656023058889,2.0,19248000.000000004
TX_24_105_R01,11104193.574965822,25.33,-2725131.2420458174,0.4545429751953418,-72719.22360079696,11104193.574965822,36096.237616726125,-2987.490050395953,-8933.03990427023,51004.36383533626,4,35025.89105348946,105,24,0.507609627229724,2621344.695093797,-7323.168515316194,88.8,1614.5542410815128,19248000.000000004,628064.7481377979,6,0.5769011624566615,75595.55233534671,31.590368745475452,47.33,-0.6260488665662457,6580398.538473116,25.217537127214182,"[36, 302]",1431.3942489558942,21100.0,7.3333,0.4069687535345742,0.5769011624566615,3.3299999999999983,19248000.000000004
TX_24_105_R02,10954915.581014898,25.380000000000003,-2731058.3895400916,0.4545429751953418,-68872.85955915393,10954915.581014898,32686.496181282208,-2641.692196779407,-7478.295716252316,44611.97796947251,4,34963.42513391545,105,24,0.5007856335419822,2636940.1278163637,-7154.335076121581,73.3,1334.3108024356145,19248000.000000004,537492.2648502095,6,0.5691456557052627,71328.88489607416,33.434472604163155,49.38,-0.7033364947854576,6588783.247644801,27.026682540406625,"[40, 249]",1209.4157739268887,19600.0,7.3333,0.40160730249232013,0.5691456557052627,1.3800000000000026,19248000.000000004
